VVals,Epret,Eplen,ImproveCondition,BackTrack_Iters,LossPi,LossV,KL,Epoch
0.124176085,-1154.5425315186046,200,1.02535879611969,0,-7.120767975266062e-08,257456.171875,0.007634628098458052,0
-9.260946,-1828.210896404752,200,0.9735066294670105,0,3.0835468578516156e-07,235284.3125,0.008048366755247116,1
-15.987163,-1393.021568558564,200,0.9849610924720764,0,-1.900990724834628e-07,242976.296875,0.008974175900220871,2
-21.998606,-1533.2132131906392,200,0.924937903881073,0,-1.907348590179936e-08,213797.84375,0.007828360423445702,3
-27.47412,-1732.4638445780117,200,1.040245532989502,0,1.627604149234685e-07,235845.421875,0.009045020677149296,4
-33.043797,-1876.582179096219,200,0.9021252989768982,0,2.414385562587995e-07,189973.421875,0.007522014435380697,5
-38.11771,-1698.2334151134676,200,1.0995168685913086,0,-3.4459432640687737e-07,201329.28125,0.008247138001024723,6
-43.284615,-1738.7778079440227,200,0.9231019616127014,0,1.2143452465807059e-07,179641.296875,0.00790006760507822,7
-48.23076,-1435.7924443905367,200,1.1224887371063232,0,3.433227391269611e-07,202722.8125,0.008751857094466686,8
-53.429394,-1598.7609618520357,200,1.0076589584350586,0,-6.612141589812381e-08,185768.78125,0.008600258268415928,9
-58.46154,-1138.2726311348677,200,0.8754093050956726,0,3.814697180359872e-08,157355.40625,0.006788569036871195,10
-63.159843,-1463.2496736293085,200,1.1123061180114746,0,-2.3905437274152064e-07,176001.1875,0.009257455356419086,11
-68.078445,-1469.548445483112,200,0.9751510620117188,0,9.282430113444207e-08,153654.046875,0.00740622216835618,12
-72.77931,-1385.3002278701304,200,1.058099389076233,0,-6.1035152043587e-08,136103.53125,0.008448868989944458,13
-77.23789,-1424.202935957784,200,1.0518124103546143,0,-2.574920756615029e-07,132183.703125,0.008684725500643253,14
-81.644394,-1483.9649702536371,200,1.030903697013855,0,-2.543131571997037e-08,128789.8671875,0.006169902626425028,15
-86.06632,-1212.6874289327282,200,1.0483068227767944,0,-8.201598689083767e-08,112393.765625,0.008079960010945797,16
