VVals,EpRet,EpLen,StopIter,LossPi,LossV,KL,ClipFrac,Entropy,DeltaLossPi,DeltaLossV,Epoch,Total_Steps
0.022777226,-1793.5369276381907,200,79,1.1889139983622954e-07,167753.703125,0.0033893838990479708,0.0533333346247673,0.9189384579658508,-0.005108456275117135,-5885.5625,0,3000
-6.043172,-973.3078875478285,200,79,-0.0,144931.75,0.0030046592000871897,0.05233333259820938,0.9078271389007568,-0.005211783107370138,-5366.453125,1,6000
-15.915257,-1432.6208812405112,200,79,7.375081167992903e-08,126815.5078125,0.003182951593771577,0.05700000002980232,0.8749145269393921,-0.005048547116416557,-3809.8125,2,9000
-21.800936,-963.6176439312027,200,79,-1.627604149234685e-07,150843.328125,0.00252358615398407,0.03533333167433739,0.8568634390830994,-0.0035282184717573273,-4016.421875,3,12000
-27.577003,-1080.7735592412098,200,79,-8.265177342536845e-08,137861.453125,0.004998902324587107,0.06366666406393051,0.8451660871505737,-0.005233377919843463,-3581.09375,4,15000
