Epret,Eplen,LossQ,LossPi,QVals,TestEpRet,TestEpLen,Epoch,Total_Steps
-880.3797934351419,200,10.353317260742188,51.34785842895508,-54.15721,-800.8018190820519,200,1,3999
-1541.0158014834874,200,3.9837636947631836,74.0586929321289,-78.44276,-128.69307272189099,200,2,7999
