Epret,Eplen,LossPi,Epsilon,TestEpRet,TestEpLen,Epoch,Total_Steps
-64.47786454829834,99,16.22758674621582,0.25,40.94191240353413,129,1,3999
-285.0243998351119,326,2.3270864486694336,0.16666666666666666,-149.06772949467273,114,2,7999
-215.44355529984517,564,1.7732199430465698,0.125,-155.18034338744093,455,3,11999
-60.0418554991758,130,3.744391441345215,0.1,-89.06275978656764,1000,4,15999
-182.07857367401652,667,20.811899185180664,0.08333333333333333,-88.16523133064868,1000,5,19999
137.7631993249387,493,3.084195137023926,0.07142857142857142,-73.72175384775184,1000,6,23999
-70.94372332560935,1000,2.2027673721313477,0.0625,-22.284994286256243,1000,7,27999
-38.62080378670987,1000,7.529761791229248,0.05555555555555555,-69.20872151163576,1000,8,31999
-46.55361996757987,1000,8.16266918182373,0.05,9.907343689219573,198,9,35999
148.57103603608724,570,3.0096354484558105,0.045454545454545456,-62.76988635214295,1000,10,39999
228.8794820289804,433,4.685516357421875,0.041666666666666664,-38.87496664187276,1000,11,43999
-39.05318414446055,1000,2.7128119468688965,0.038461538461538464,-35.50420439405014,1000,12,47999
244.55007385634954,301,2.121865749359131,0.03571428571428571,-27.041916011475436,279,13,51999
-56.38010428007026,210,2.6493287086486816,0.03333333333333333,23.660041183850304,1000,14,55999
155.56239311900612,692,3.312530517578125,0.03125,-77.25682574015785,1000,15,59999
251.03208596518954,185,13.605088233947754,0.029411764705882353,-296.14896948408307,893,16,63999
-68.14633140790669,1000,10.565267562866211,0.027777777777777776,-168.63336769848945,277,17,67999
-52.10503885024794,103,2.739013433456421,0.02631578947368421,-48.7211275581825,158,18,71999
-290.86428118800256,485,11.014348983764648,0.025,280.4055267661339,509,19,75999
-55.623707123771766,1000,7.170809745788574,0.023809523809523808,204.89353641346952,459,20,79999
281.78672577677617,299,9.044971466064453,0.022727272727272728,272.75202962864296,260,21,83999
249.4334409606552,293,7.776512622833252,0.021739130434782608,-181.7929811296093,232,22,87999
272.7850330003248,242,4.528648376464844,0.020833333333333332,203.01483860292007,305,23,91999
269.16178884541915,291,37.03330612182617,0.02,-25.981856448053236,412,24,95999
228.28700422096543,494,11.167747497558594,0.019230769230769232,227.66471037017885,372,25,99999
87.73162121893768,1000,6.317948341369629,0.018518518518518517,235.00157029906433,450,26,103999
250.84587181092715,525,18.423290252685547,0.017857142857142856,291.8869851769665,328,27,107999
292.9616371387545,340,4.579949855804443,0.017241379310344827,242.25724193672167,494,28,111999
