VVals,EpRet,EpLen,StopIter,LossPi,LossV,KL,ClipFrac,Entropy,DeltaLossPi,DeltaLossV,Epoch
137.5486,324.6068669820544,126,79,4.323323565813553e-08,1999.3453369140625,0.013766389340162277,0.1366666704416275,0.8762057423591614,-0.023017984276016534,-247.350341796875,26
150.4601,586.3822172447614,205,79,2.2888183792701966e-08,2550.7412109375,0.012349776923656464,0.1379999965429306,0.8620204925537109,-0.02098919877409955,-501.78515625,27
157.23999,568.6503831367195,206,3,-3.814697180359872e-08,1915.254638671875,0.018121954053640366,0.15399999916553497,0.8678852915763855,-0.006870040707291025,-376.808349609375,28
163.25162,355.23576177709117,141,39,1.2715657859985185e-08,1354.1715087890625,0.01514784712344408,0.1326666623353958,0.8675854206085205,-0.019628567298253685,-261.399658203125,29
158.99359,521.0542302862598,189,79,2.415974975633617e-08,1787.0108642578125,0.011270677670836449,0.13199999928474426,0.8632259368896484,-0.02362704271574856,-415.104736328125,30
172.3716,579.2174143946444,202,79,6.993611378902642e-08,1496.5452880859375,0.011307324282824993,0.1303333342075348,0.8409935832023621,-0.0239272779722981,-326.1290283203125,31
179.0931,550.1164082557369,193,4,2.6702879907247734e-08,1544.46826171875,0.01764986850321293,0.20000000298023224,0.8373459577560425,-0.00573216627538109,-158.802978515625,32
180.09618,714.6741721790987,242,22,-3.433227391269611e-08,1751.302490234375,0.015448435209691525,0.16200000047683716,0.8372769355773926,-0.017844042867423582,-391.3564453125,33
188.45918,363.4359018658842,154,79,-3.814697002724188e-09,1814.4932861328125,0.009019562974572182,0.16833333671092987,0.8335760831832886,-0.023465718984604145,-250.65966796875,34
192.66553,696.5382908476693,239,79,-7.629394005448376e-09,1949.1661376953125,0.01224754098802805,0.14433333277702332,0.818834662437439,-0.022827751755714942,-153.0201416015625,35
194.40758,626.6644113241213,217,73,-0.0,1173.45068359375,0.015009171329438686,0.1420000046491623,0.8090584874153137,-0.024291742593050003,-244.14019775390625,36
178.1604,741.7671658804462,245,79,3.814697180359872e-08,1543.172607421875,0.005828057415783405,0.13199999928474426,0.7901440262794495,-0.019308191686867815,-275.984619140625,37
54.32466,621.0401729111728,204,79,-3.814697180359872e-08,1890.4716796875,0.011348950676620007,0.15299999713897705,0.7696298956871033,-0.022561780214310545,-286.7960205078125,38
111.20604,829.9579862643988,271,79,4.577636758540393e-08,1273.0635986328125,0.010106825269758701,0.10333333164453506,0.7632010579109192,-0.02185028526186983,-299.631591796875,39
213.51419,826.5002043835644,275,79,5.2134193850861266e-08,1457.026611328125,0.01335267536342144,0.14766666293144226,0.7621403932571411,-0.02659232167402692,-320.68017578125,40
155.87288,579.6307609916478,208,4,-1.2715657859985185e-08,1908.9913330078125,0.020675765350461006,0.2630000114440918,0.7672256231307983,-0.00569035843635568,-304.4375,41
224.04332,862.1283695379243,290,3,1.2715657859985185e-08,1468.1820068359375,0.01628202758729458,0.15833333134651184,0.7674593329429626,-0.0014948959260561168,-163.06396484375,42
192.80849,855.1923000583353,274,75,2.7974445870881937e-08,2201.17041015625,0.01509060151875019,0.1366666704416275,0.7673924565315247,-0.021069083397586397,-228.7294921875,43
231.22777,1041.0229928819842,333,7,-1.017252593271678e-08,2327.28662109375,0.015175256878137589,0.1860000044107437,0.778370201587677,-0.007670740668972442,-70.2822265625,44
18.86194,896.345307021212,291,5,-2.034505186543356e-08,923.752685546875,0.01609903760254383,0.17666666209697723,0.7781568169593811,-0.00471164440239491,-203.99969482421875,45
