VVals,EpRet,EpLen,StopIter,LossPi,LossV,KL,ClipFrac,Entropy,DeltaLossPi,DeltaLossV,Epoch
0.040752664,13.587905533940289,26,6,-7.629394005448376e-09,252.73895263671875,0.016490638256072998,0.30300000309944153,0.9189385771751404,-0.018369387656450797,-110.7113037109375,0
7.540578,25.46501690795676,24,7,-2.034505186543356e-08,959.1726684570312,0.018896764144301414,0.2666666507720947,0.9178261756896973,-0.01651840671400251,-236.10064697265625,1
16.664835,113.74465892942982,90,9,2.034505186543356e-08,2057.076904296875,0.01601598970592022,0.28166666626930237,0.9164174199104309,-0.010872420710821729,-504.0892333984375,2
25.68137,104.51070445145086,57,79,3.814697002724188e-09,1522.489013671875,0.009481468237936497,0.09933333098888397,0.9152109622955322,-0.01606318177282784,-282.983642578125,3
31.92629,107.90451040557092,74,9,2.034505186543356e-08,1848.599853515625,0.015511813573539257,0.1899999976158142,0.910927951335907,-0.01045881756146727,-329.211669921875,4
38.317184,87.79389432722941,49,79,-1.017252593271678e-08,1723.248779296875,0.0067954533733427525,0.08833333104848862,0.9100863337516785,-0.016319300120075653,-256.54833984375,5
43.895008,219.14769819190334,96,79,4.323323565813553e-08,2667.038818359375,0.01118294894695282,0.12433332949876785,0.920401930809021,-0.018381147106488527,-434.318115234375,6
50.855167,103.88066229092334,57,79,-5.499521904539506e-08,2293.447265625,0.014381492510437965,0.12799999117851257,0.9091639518737793,-0.023177730803688235,-287.34228515625,7
56.537228,249.21729104149983,103,79,7.502237764356323e-08,2565.03369140625,0.008311469107866287,0.09200000017881393,0.9080743193626404,-0.017415224159755383,-305.177490234375,8
62.264973,232.3589071933488,104,79,-1.8437702919982257e-08,2455.907958984375,0.00541426707059145,0.08633333444595337,0.900230884552002,-0.017582867483298514,-287.5673828125,9
67.811195,87.21558216337998,50,79,-3.05175760217935e-08,2168.66943359375,0.0076434011571109295,0.10566666722297668,0.9015036821365356,-0.019345655322076993,-213.951171875,10
72.6327,221.84842292738765,101,79,-1.7801919938165156e-08,2095.543212890625,0.007102989591658115,0.09699999541044235,0.9065058827400208,-0.017514546295007705,-181.096435546875,11
77.086914,233.20461387721784,101,79,-4.069010373086712e-08,1826.1021728515625,0.0095008360221982,0.10099999606609344,0.916451632976532,-0.021315947463115492,-88.432373046875,12
80.3045,231.38139726400416,100,79,-2.034505186543356e-08,1879.9285888671875,0.010195165872573853,0.10366666316986084,0.9178184866905212,-0.01953720129529657,-674.897216796875,13
84.14231,283.02737926877535,126,79,2.034505186543356e-08,1845.2236328125,0.006182752549648285,0.10833333432674408,0.905876874923706,-0.01851802863677321,-383.07763671875,14
87.22346,243.16677258432097,115,5,1.525878801089675e-08,1586.435302734375,0.018446052446961403,0.1926666647195816,0.8943915963172913,-0.006872761886565826,-267.57763671875,15
95.39291,288.5354493896098,117,4,-1.017252593271678e-08,1671.6334228515625,0.01572875678539276,0.20266667008399963,0.8936055898666382,-0.005037160196652124,-302.02978515625,16
100.61136,322.9164620138606,132,4,7.120767975266062e-08,1658.564697265625,0.015260856598615646,0.13199999928474426,0.8927422761917114,-0.003179423006869797,-268.2474365234375,17
100.48711,330.071865389565,143,5,2.543131571997037e-08,1635.582275390625,0.016880977898836136,0.14233332872390747,0.8918795585632324,-0.004863860836874068,-232.9794921875,18
107.63158,324.76070802998294,144,79,2.543131571997037e-08,1495.900146484375,0.006623094901442528,0.13199999928474426,0.8913834691047668,-0.01939610327283603,-302.45263671875,19
114.23238,366.87749730983614,158,79,3.6875405839964515e-08,2099.376953125,0.007457172963768244,0.09699999541044235,0.8829381465911865,-0.021302161360779337,-596.50927734375,20
12.934718,333.087776634274,124,79,-4.577636758540393e-08,1515.3084716796875,0.0053477599285542965,0.1003333330154419,0.8903267979621887,-0.019604136094450553,-358.32861328125,21
125.908295,242.8428533562512,110,4,3.814697180359872e-08,1116.599365234375,0.015519427135586739,0.12833333015441895,0.889035701751709,-0.002938761338590723,-203.51806640625,22
130.62718,504.16934652114423,196,79,-1.017252593271678e-08,1656.544677734375,0.010143819265067577,0.1276666671037674,0.8887447118759155,-0.02365074593325467,-352.7388916015625,23
136.64647,610.2660863567543,221,79,5.086263143994074e-08,1584.40576171875,0.008059482090175152,0.14999999105930328,0.8847692012786865,-0.02261265983184302,-285.760009765625,24
140.64885,564.6474169179428,198,79,2.034505186543356e-08,1615.68896484375,0.007653798442333937,0.1313333362340927,0.8804290294647217,-0.023120544706781487,-292.3115234375,25
